Stage Name,Full Name,Date of Birth,Group,Debut,Company,Country,Second Country,Birthplace,Other Group,Former Group
2Soul,Kim Younghoon,10/09/1997,7 O'clock,26/08/2014,Jungle,South Korea,,,,
A.M,Seong Hyunwoo,31/12/1996,Limitless,9/07/2019,ONO,South Korea,,,,
Ace,Jang Wooyoung,28/08/1992,VAV,31/10/2015,A team,South Korea,,,,
Aeji,Kwon Aeji,25/10/1999,Hash Tag,11/10/2017,LUK,South Korea,,Daegu,,
AhIn,Lee Ahin,27/09/1999,MOMOLAND,9/11/2016,Double Kick,South Korea,,Wonju,,
Ahra,Go Ahra,21/02/2001,Favorite,5/07/2017,Astory,South Korea,,Yeosu,,
Ahyeon,Jung Ahyeon,11/04/2007,BABYMONSTER,0/01/1900,YG,South Korea,,,,
Ahyoon,Choi Subin,23/10/2004,BOTOPASS,26/08/2020,WKS ENE,South Korea,,,,
Ahyoon,Shin Ahyoon,24/09/2003,Queenz Eye,24/10/2022,Big Mountain,South Korea,,Seoul,,
Ahyoung,Cho Jayoung,26/05/1991,Dal Shabet,3/01/2011,Happy Face,South Korea,,Seoul,,
Ahyung,Kang Ahyoung,27/08/1996,P.O.P,26/07/2017,DWM,South Korea,,Pohang,,
Ailee,Lee Yejin,30/05/1989,,,,South Korea,USA,Denver,,
Aini,Kim Heejung,13/07/1991,,,,South Korea,,,,Pink Fantasy
Aisha,Heo Yoorim,21/07/2000,Everglow,18/03/2019,Yuehua,South Korea,,,,
Aki,Jang Minju,12/02/2001,MAJORS,9/03/2021,ANS,South Korea,,,,
Alex,Alexander Schmidt Lee,6/10/2004,DRIPPIN,26/10/2020,Woollim,Germany,South Korea,,,
AleXa,Kim Seri,6/12/1996,,,,USA,,,,
Alice,Song Joohee,21/03/1990,Hello Venus,9/05/2012,Fantagio,South Korea,,Wonju,,
Alice,Cheon Jaeyoung,20/02/2002,TRACER,3/04/2022,Gleamedia,South Korea,,,,
Allen,Allen Ma,26/04/1999,CRAVITY,14/04/2020,Starship,USA,South Korea,,,
Amber,Amber Josephine Liu,18/09/1992,f(x),5/09/2009,SM,USA,Taiwan,Los Angeles,,
A-min,Cho Minwoo,22/05/2004,EPEX,8/06/2021,C9,South Korea,,Namyangju,,
Andy,Lui Chunyeung,6/10/1994,7 O'clock,26/08/2014,Jungle,Hong Kong,,,,
Andy,Lee Sunho,21/01/1981,Shinhwa,24/03/1998,SM| Good| Shinhwa,South Korea,,Seoul,,
Anne,Lee Seoyoung,17/10/2000,GWSN,5/09/2018,Kiwi Pop,South Korea,,,,
Anthony,Anthony Lo,12/03/1998,VARSITY,5/01/2017,GKC,China,USA,,,
Ara,Lee Yunji,23/01/2002,ILY:1,4/04/2022,FC ENM,South Korea,,,,
A-ra,Choi Eunji,25/07/2003,Girls' World,20/06/2002,Liz,South Korea,,Seoul,,
Aran,Jeong Eunah,11/10/2004,FIFTY FIFTY,18/11/2022,ATTRAKT,South Korea,,,,
Arang,Son Mnjung,8/03/2000,,,,South Korea,,,,NeonPunch
Arang,Park Yerim,22/01/2001,Pink Fantasy,28/10/2018,My Doll,South Korea,,,,
Areum,Kim Daun,31/01/1998,AREAL,21/08/2020,JZ Factory,South Korea,,,,Rose Finger
Ari,Kim Sunyoung,23/10/1994,Tahiti,23/06/2012,J-line,South Korea,,Daegu,,
Aria,Baby Gauthami,12/03/2003,X:IN,11/04/2023,Escrow,India,,,,
Arie,Jeon Minjae,7/04/2000,MIXX,2/05/2016,Chiko,South Korea,,,,
Arin,Choi Yewon,18/06/1999,Oh My Girl,21/04/2015,WM,South Korea,,Busan,,
Aron,Kwak Youngmin,21/05/1993,NU'EST,15/03/2012,Pledis,South Korea,USA,California,NU'EST W,
Arthur,Jang Yunho,15/04/2000,Kingdom,18/02/2021,GF,South Korea,,,,VARSITY
Asa,Enami Asa,17/04/2006,BABYMONSTER,0/01/1900,YG,Japan,,,,
Asahi,Hanada Asahi,20/08/2001,Treasure,7/08/2020,YG,Japan,,,,
Ashley,Ashley Choi,9/11/1991,Ladies' Code,7/03/2013,Polaris,South Korea,USA,Incheon,,
